样本末帧,E/MPa,虚功均方根残差/N,样本点数,Y/MPa,H/MPa,拟合均方根残差/MPa
000070.jpg,,,23,21.408321999077764,5340.529347428727,0.3367856349634099
000071.jpg,,,24,21.53362446872019,5264.511425980682,0.35101620595999655
000072.jpg,,,25,21.59039129803557,5230.386499316142,0.3492680255767051
000073.jpg,,,26,21.781052583263993,5120.163292874181,0.3925037158088526
000074.jpg,,,27,21.905847316746815,5048.7712401076815,0.4095162624241839
000075.jpg,,,28,22.06538411634967,4959.773928512942,0.4407653548073345
000076.jpg,,,29,22.212820214128826,4879.009045235864,0.46742814865340326
000077.jpg,,,30,22.303724641461383,4829.60076045102,0.4749522906922356
000078.jpg,,,31,22.445470368229042,4754.734815826072,0.5024829933379732
000079.jpg,,,32,22.55253233317933,4698.831302358926,0.5170008358098693
000080.jpg,,,33,22.73752257106593,4605.519736179462,0.5670141973347183
000081.jpg,,,34,22.912265017536967,4518.875145660113,0.6110727649561588
000082.jpg,,,35,23.061080156902104,4446.156702212562,0.6424430034830225
000083.jpg,,,36,23.187758967391062,4385.138623280316,0.6645910339426663
000084.jpg,,,37,23.318812438974323,4323.212547342153,0.689625640744861
000085.jpg,,,38,23.469696697221053,4253.524237707483,0.724741530867186
000086.jpg,,,39,23.696579453470235,4152.33468728468,0.8003965356563412
000087.jpg,,,40,23.86347353939892,4078.4419972049905,0.8413577830219184
000088.jpg,,,41,24.05022211859968,3997.646856851135,0.8928766887091008
000089.jpg,,,42,24.19040402894604,3937.4666324847917,0.9211553570130718
000090.jpg,,,43,24.33555648277673,3876.3907664158364,0.9524859888273172
000091.jpg,,,44,24.47857618310813,3817.249783470362,0.9836586267703976
000092.jpg,,,45,24.63763876387582,3752.9593384364052,1.0235285004846486
000093.jpg,,,46,24.810652806558835,3684.5539875203726,1.0712336936524198
000094.jpg,,,47,24.978416960559528,3619.3195300688535,1.1164409471902035
000095.jpg,,,48,25.149355952181367,3554.1048531219863,1.1637231510309127
000096.jpg,,,49,25.34075131503748,3482.839270656432,1.222436371148623
000097.jpg,,,50,25.523947092597485,3415.782367794582,1.2758692007655728
000098.jpg,,,51,25.7168288293798,3346.6662976649295,1.334790500159898
000099.jpg,,,52,25.898229396321696,3282.6253469960943,1.3873642251020875
000100.jpg,,,53,26.11260045338584,3209.04722363878,1.4588833606462333
000101.jpg,,,54,26.314068319197617,3140.9327748212845,1.5223970708013945
000102.jpg,,,55,26.528248250508668,3070.1342460034134,1.5930883752615397
000103.jpg,,,56,26.738025640455938,3001.997225174775,1.6609086068669663
000104.jpg,,,57,26.953106142654885,2933.579744559511,1.7314136307039212
000105.jpg,,,58,27.141735217719173,2874.1823104976643,1.786900158168763
000106.jpg,,,59,27.366229718115335,2805.5851209195594,1.8635174319651366
000107.jpg,,,60,27.587500119263943,2739.1800364899846,1.937987381484507
000108.jpg,,,61,27.81110761481203,2673.4115011514255,2.0134811859264135
000109.jpg,,,62,28.025381242369754,2611.3628446970347,2.0837626795125312
000110.jpg,,,63,28.26695420047413,2543.340847726726,2.1702405863549954
000111.jpg,,,64,28.520243595147036,2473.665205223558,2.2631627299318886
000112.jpg,,,65,28.75091305473613,2411.008517517018,2.3419836155919818
000113.jpg,,,66,29.0004159800056,2344.944592530449,2.432148249356387
000114.jpg,,,67,29.256345487657324,2278.669078583423,2.525617743127572
000115.jpg,,,68,29.519861196296393,2211.9160024660123,2.6236954208988434
000116.jpg,,,69,29.771593347806288,2149.2055382033423,2.714080121072128
000117.jpg,,,70,30.048410048364733,2082.1848813230395,2.8193075944145813
000118.jpg,,,71,30.329414419828865,2015.6548451312194,2.9262991538310814
000119.jpg,,,72,30.602555901700704,1952.1720841496399,3.028105577267758
000120.jpg,,,73,30.889394817813994,1887.179147366048,3.1379684804315384
000121.jpg,,,74,31.172867743218703,1824.2341473301778,3.24555648903637
000122.jpg,,,75,31.46582650046333,1760.7645253904752,3.3586284564181517
000123.jpg,,,76,31.758474666088286,1698.734094952454,3.471129039662438
000124.jpg,,,77,32.05494410844932,1637.34373433668,3.585718555354562
000125.jpg,,,78,32.34899492731929,1577.7826081498795,3.698217404824148
000126.jpg,,,79,32.65696149575245,1517.0882171315825,3.8187732169947446
000127.jpg,,,80,32.952492385228126,1459.9259219191913,3.9318879122713497
000128.jpg,,,81,33.244231606212686,1404.712512847451,4.042804688131041
000129.jpg,,,82,33.53861756343018,1350.3275732728018,4.155494072425794
000130.jpg,,,83,33.828010651625966,1298.0125676305152,4.265406472802689
000131.jpg,,,84,34.120848908962195,1246.3911788645257,4.3774041480659935
000132.jpg,,,85,34.41395010216847,1195.9643208948503,4.489610986611634
000133.jpg,,,86,34.69014355016952,1149.270805056711,4.592282598900315
000134.jpg,,,87,34.97130557961598,1102.9746528857982,4.698156610283309
000135.jpg,,,88,35.24177482182505,1059.3192430144145,4.798252109863444
000136.jpg,,,89,35.51123140976309,1016.8766552149118,4.897969015085024
