照片,DAT,时间/s,X向力/N,Y向力/N,JPG原始路径,DAT原始路径
000052.jpg,000052.jpg.dat,5.2394,522.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000052.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000052.jpg.dat
000053.jpg,000053.jpg.dat,5.3408,532.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000053.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000053.jpg.dat
000054.jpg,000054.jpg.dat,5.4422,541.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000054.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000054.jpg.dat
000055.jpg,000055.jpg.dat,5.5436,551.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000055.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000055.jpg.dat
000056.jpg,000056.jpg.dat,5.6450,563.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000056.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000056.jpg.dat
000057.jpg,000057.jpg.dat,5.7464,572.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000057.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000057.jpg.dat
000058.jpg,000058.jpg.dat,5.8478,581.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000058.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000058.jpg.dat
000059.jpg,000059.jpg.dat,5.9493,590.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000059.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000059.jpg.dat
000060.jpg,000060.jpg.dat,6.0507,600.764000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000060.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000060.jpg.dat
000061.jpg,000061.jpg.dat,6.1521,610.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000061.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000061.jpg.dat
