frame_index,photo,time_role,photo_time_s,Boundary0_X2_N,Boundary1_Y2_N,Boundary2_Y1_N,Boundary3_X1_N
186,000186.jpg,synchronized,18.607605633803,1506.000000,1495.960000,1503.700000,1491.360000
187,000187.jpg,synchronized,18.707619718310,1507.000000,1497.960000,1504.700000,1493.360000
188,000188.jpg,synchronized,18.807633802817,1509.000000,1498.960000,1507.700000,1495.360000
189,000189.jpg,synchronized,18.907647887324,1510.000000,1500.960000,1507.700000,1497.360000
190,000190.jpg,synchronized,19.007661971831,1512.000000,1500.960000,1509.700000,1499.360000
191,000191.jpg,synchronized,19.107676056338,1513.000000,1501.960000,1510.700000,1499.360000
192,000192.jpg,synchronized,19.207690140845,1515.000000,1503.960000,1512.700000,1501.360000
193,000193.jpg,synchronized,19.307704225352,1517.000000,1505.960000,1513.995775,1501.951549
194,000194.jpg,synchronized,19.407718309859,1519.000000,1507.960000,1515.700000,1502.360000
195,000195.jpg,synchronized,19.507732394366,1520.000000,1508.960000,1516.700000,1504.360000
196,000196.jpg,synchronized,19.607746478873,1521.000000,1509.960000,1517.700000,1506.360000
197,000197.jpg,synchronized,19.707760563380,1523.000000,1511.960000,1519.700000,1508.360000
198,000198.jpg,synchronized,19.807774647887,1524.000000,1512.960000,1521.700000,1509.360000
199,000199.jpg,synchronized,19.907788732394,1526.000000,1514.960000,1522.700000,1511.360000
200,000200.jpg,synchronized,20.007802816901,1527.000000,1515.960000,1523.700000,1513.360000
201,000201.jpg,synchronized,20.107816901408,1529.000000,1517.960000,1525.700000,1516.360000
202,000202.jpg,synchronized,20.207830985915,1530.000000,1518.960000,1527.700000,1516.360000
203,000203.jpg,synchronized,20.307845070423,1531.000000,1520.960000,1528.700000,1517.360000
204,000204.jpg,synchronized,20.407859154930,1533.000000,1521.960000,1529.840845,1517.641690
205,000205.jpg,synchronized,20.507873239437,1535.000000,1522.960000,1531.700000,1519.360000
206,000206.jpg,synchronized,20.607887323944,1537.000000,1523.960000,1532.700000,1521.360000
207,000207.jpg,synchronized,20.707901408451,1538.000000,1525.960000,1533.700000,1522.360000
208,000208.jpg,synchronized,20.807915492958,1539.000000,1526.960000,1535.700000,1523.360000
209,000209.jpg,synchronized,20.907929577465,1541.000000,1528.960000,1536.700000,1525.360000
210,000210.jpg,synchronized,21.007943661972,1542.000000,1529.960000,1537.700000,1527.360000
211,000211.jpg,synchronized,21.107957746479,1543.000000,1530.960000,1539.700000,1528.360000
212,000212.jpg,synchronized,21.207971830986,1544.000000,1532.960000,1540.700000,1531.360000
213,000213.jpg,synchronized,21.307985915493,1545.000000,1533.960000,1542.700000,1532.360000
214,000214.jpg,synchronized,21.408000000000,1548.000000,1534.960000,1543.700000,1532.360000
215,000215.jpg,synchronized,21.508014084507,1548.000000,1536.960000,1544.700000,1532.360000
216,000216.jpg,synchronized,21.608028169014,1550.000000,1537.960000,1546.700000,1534.360000
217,000217.jpg,synchronized,21.708042253521,1551.000000,1539.960000,1547.700000,1535.360000
218,000218.jpg,synchronized,21.808056338028,1553.000000,1540.960000,1548.700000,1537.360000
219,000219.jpg,synchronized,21.908070422535,1554.000000,1541.960000,1549.700000,1538.360000
220,000220.jpg,synchronized,22.008084507042,1555.000000,1542.960000,1550.700000,1540.360000
221,000221.jpg,synchronized,22.108098591549,1556.000000,1544.960000,1552.700000,1541.360000
222,000222.jpg,synchronized,22.208112676056,1557.000000,1546.960000,1554.700000,1543.360000
223,000223.jpg,synchronized,22.308126760563,1559.000000,1546.960000,1555.700000,1545.360000
224,000224.jpg,synchronized,22.408140845070,1559.000000,1547.960000,1556.700000,1546.078310
225,000225.jpg,synchronized,22.508154929577,1561.000000,1549.960000,1557.700000,1545.360000
226,000226.jpg,synchronized,22.608169014085,1562.000000,1550.960000,1559.700000,1547.360000
227,000227.jpg,synchronized,22.708183098592,1564.000000,1551.960000,1560.700000,1548.360000
228,000228.jpg,synchronized,22.808197183099,1565.000000,1553.960000,1561.700000,1549.360000
229,000229.jpg,synchronized,22.908211267606,1566.000000,1554.960000,1563.700000,1551.360000
230,000230.jpg,synchronized,23.008225352113,1568.000000,1555.960000,1563.700000,1552.360000
231,000231.jpg,synchronized,23.108239436620,1569.000000,1556.960000,1565.700000,1553.360000
232,000232.jpg,synchronized,23.208253521127,1570.000000,1557.960000,1565.700000,1555.360000
233,000233.jpg,synchronized,23.308267605634,1571.000000,1559.960000,1567.700000,1556.360000
234,000234.jpg,synchronized,23.408281690141,1572.000000,1560.960000,1569.700000,1558.360000
235,000235.jpg,synchronized,23.508295774648,1573.000000,1561.960000,1569.700000,1560.064225
236,000236.jpg,synchronized,23.608309859155,1574.000000,1562.960000,1570.700000,1560.360000
237,000237.jpg,synchronized,23.708323943662,1575.000000,1563.960000,1572.700000,1561.360000
238,000238.jpg,synchronized,23.808338028169,1577.000000,1564.960000,1573.700000,1562.360000
239,000239.jpg,synchronized,23.908352112676,1578.000000,1566.960000,1574.700000,1563.360000
240,000240.jpg,synchronized,24.008366197183,1579.000000,1566.960000,1574.700000,1563.360000
241,000241.jpg,synchronized,24.108380281690,1580.000000,1568.960000,1576.700000,1565.360000
242,000242.jpg,synchronized,24.208394366197,1581.000000,1568.960000,1577.700000,1567.360000
243,000243.jpg,synchronized,24.308408450704,1583.000000,1570.960000,1578.700000,1568.360000
244,000244.jpg,synchronized,24.408422535211,1583.000000,1571.960000,1579.700000,1569.360000
245,000245.jpg,synchronized,24.508436619718,1584.000000,1572.960000,1581.700000,1570.360000
246,000246.jpg,synchronized,24.608450704225,1585.000000,1572.960000,1581.700000,1572.360000
247,000247.jpg,synchronized,24.708464788732,1587.000000,1573.960000,1582.700000,1574.360000
248,000248.jpg,synchronized,24.808478873239,1588.000000,1574.960000,1583.700000,1573.360000
249,000249.jpg,synchronized,24.908492957746,1589.000000,1575.960000,1584.700000,1574.360000
250,000250.jpg,synchronized,25.008507042254,1590.000000,1577.960000,1585.700000,1575.360000
251,000251.jpg,synchronized,25.108521126761,1591.000000,1577.960000,1586.700000,1576.360000
252,000252.jpg,synchronized,25.208535211268,1592.000000,1578.960000,1586.700000,1577.360000
253,000253.jpg,synchronized,25.308549295775,1593.000000,1579.960000,1587.700000,1579.360000
254,000254.jpg,synchronized,25.408563380282,1594.000000,1580.960000,1589.700000,1579.360000
255,000255.jpg,synchronized,25.508577464789,1595.000000,1581.960000,1589.700000,1581.360000
256,000256.jpg,synchronized,25.608591549296,1596.000000,1581.960000,1589.700000,1582.360000
257,000257.jpg,synchronized,25.708605633803,1597.000000,1582.960000,1591.305634,1583.360000
258,000258.jpg,synchronized,25.808619718310,1598.000000,1583.960000,1592.700000,1584.360000
259,000259.jpg,synchronized,25.908633802817,1599.000000,1584.960000,1593.700000,1585.360000
260,000260.jpg,synchronized,26.008647887324,1600.000000,1584.960000,1593.700000,1586.360000
261,000261.jpg,synchronized,26.108661971831,1600.000000,1585.960000,1594.700000,1586.360000
262,000262.jpg,synchronized,26.208676056338,1602.000000,1586.960000,1595.700000,1587.360000
263,000263.jpg,synchronized,26.308690140845,1602.000000,1587.960000,1595.700000,1587.360000
264,000264.jpg,synchronized,26.408704225352,1603.000000,1588.960000,1596.700000,1588.360000
265,000265.jpg,synchronized,26.508718309859,1604.000000,1588.960000,1596.700000,1589.360000
266,000266.jpg,synchronized,26.608732394366,1604.000000,1589.960000,1597.700000,1589.360000
267,000267.jpg,synchronized,26.708746478873,1605.000000,1590.960000,1598.700000,1591.360000
268,000268.jpg,synchronized,26.808760563380,1606.000000,1591.960000,1599.700000,1593.120563
269,000269.jpg,synchronized,26.908774647887,1607.000000,1591.960000,1599.700000,1593.360000
