照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000552.jpg,55.3534,0.000000,1446.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000552.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000552_DIC全场—力.csv,6165,6167,2,READY
000560.jpg,56.1563,0.000000,1447.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000560.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000560_DIC全场—力.csv,6165,6167,2,READY
000568.jpg,56.9591,0.000000,1450.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000568.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000568_DIC全场—力.csv,6166,6168,2,READY
000576.jpg,57.7619,0.000000,1452.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000576.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000576_DIC全场—力.csv,6165,6167,2,READY
000584.jpg,58.5648,0.000000,1453.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000584.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000584_DIC全场—力.csv,6166,6168,2,READY
000592.jpg,59.3676,0.000000,1456.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000592.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000592_DIC全场—力.csv,6166,6168,2,READY
000600.jpg,60.1704,0.000000,1458.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000600.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000600_DIC全场—力.csv,6166,6168,2,READY
000608.jpg,60.9732,0.000000,1461.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000608.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000608_DIC全场—力.csv,6166,6168,2,READY
000616.jpg,61.7761,0.000000,1462.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000616.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000616_DIC全场—力.csv,6166,6168,2,READY
000624.jpg,62.5789,0.000000,1464.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000624.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000624_DIC全场—力.csv,6166,6168,2,READY
000632.jpg,63.3817,0.000000,1465.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000632.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000632_DIC全场—力.csv,6165,6167,2,READY
000640.jpg,64.1846,0.000000,1466.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000640.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000640_DIC全场—力.csv,6166,6168,2,READY
000648.jpg,64.9874,0.000000,1468.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000648.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000648_DIC全场—力.csv,6163,6165,2,READY
000656.jpg,65.7902,0.000000,1469.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000656.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000656_DIC全场—力.csv,6163,6165,2,READY
000664.jpg,66.5930,0.000000,1471.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000664.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000664_DIC全场—力.csv,6166,6168,2,READY
